and/ <obj.>	y/ (objeto directo)
<to>/ saying	a/ diciendo
[the] king of	[el] rey de
[the] people of	[el] pueblo de
to/ him	a/ él
to/ me	a/ mí
to/ you	a/ ti
he says	dice
to/ them	a/ ellos
<obj.>/ them	(objeto)/ ellos
to/ Yahweh	a/ Jehová
[the] descendants of	[los] descendientes de
<the>/ that	el/ aquel
just/ as	así/ como
it	ello
and/ to	y/ a
<obj.>/ you	(objeto)/ ti
<the>/ God	el/ Dios
over	sobre
the/ earth	la/ tierra
and/ on	y/ sobre
[the] God of	[el] Dios de
and/ it will be	y/ será
<obj.>/ it	(objeto)/ ello
and/ they said	y/ dijeron
<obj.>/ him	(objeto)/ él
on/ it	sobre/ ello
[the] sons of	[los] hijos de
it will be	será
¿/ not	¿/ no
O Yahweh	oh Jehová
on the/ day	en el/ día
the/ day	el/ día
[the] land of	[la] tierra de
the/ house	la/ casa
on/ you	sobre/ ti
with/ him	con/ él
in/ [the] land of	en/ la tierra de
in/ all	en/ todos
and/ she said	y/ ella dijo
son/ his	hijo/ su
and/ he	y/ él
this/ day	este/ día
and/ there not	y/ no hay
on/ him	sobre/ él
on/ them	sobre/ ellos
the/ priests	los/ sacerdotes
the/ man	el/ varón
[am] Yahweh	[soy] Jehová
[that] which	[aquello] que
[the] face of	[el] rostro de
go	ve
in/ Jerusalem	en/ Jerusalén
and/ you will say	y/ diréis
it was	fue
to/ all	a/ todos
people/ my	pueblo/ mi
[the] words of	[las] palabras de
there-	por-
-fore	-tanto
and/ every	y/ todo
and/ he made	y/ hizo
and/ they came	y/ vinieron
and/ they went	y/ fueron
in/ [the] hand of	en/ la mano de
from/ on	de/ sobre
the/ days	los/ días
and/ now	y/ ahora
a person	una persona
and/ may not	y/ para que no
God/ our	Dios/ nuestro
at	en
with/ me	conmigo
heart/ your	corazón/ tu
sons/ his	hijos/ su
everyone	todos
<to>/ before/ you	a/ delante de/ ti
any	alguno
and/ it came	y/ vino
and/ [the] sons of	y/ [los] hijos de
[the] days of	[los] días de
from/ [the] land of	de/ la tierra de
in <the>/ it	en/ ello
from/ all	de/ todos
<obj.>/ me	(objeto)/ mí
in the/ land	en la/ tierra
and/ two	y/ dos
from/ [the] hand of	de/ la mano de
he said	dijo
[the] earth	la/ tierra
in/ it	en/ ello
nations	naciones
father/ your	padre/ tu
on/ me	sobre/ mí
for <the>/ you	para/ ti
for/ you	para/ ti
[the] name of	[el] nombre de
by/ [the] hand of	por/ la mano de
servants/ his	siervos/ su
father/ my	padre/ mi
[the] men of	[los] varones de
from/ before	de/ delante de
all of/ them	todos/ ellos
and/ he did	y/ hizo
[the] kings of	[los] reyes de
the/ words	las/ palabras
he spoke	habló
according to/ all	según/ todo
ancestors/ their	antepasados/ su
with/ them	con/ ellos
they were	eran
the/ ground	la/ tierra
and/ these	y/ estos
hand/ your	mano/ tu
[is] on	[está] sobre
O son of	oh hijo de
in/ [the] midst of	en/ medio de
people/ his	pueblo/ su
two [plus]	dos [más]
and/ [the] name of	y/ [el] nombre de
