<the>	(artículo)
of the	del
of Him	de Él
of him	de él
to the	al
those	aquellos
to them	a ellos
of them	de ellos
to him	a él
Me	mí
The	(el)
are	son
the [one]	el [que]
it	ello
to Him	a Él
of mine	de lo mío
of Mine	de lo Mío
out of	fuera de
He said	Dijo
you yourselves	vosotros mismos
among	entre
was	era
I say	digo
at	en
What	Qué
the [things]	las [cosas]
all things	todas las cosas
the [One]	el [Uno]
even	también
some	algunos
This	Esto
in the	en el
of You	de Ti
it is	es
The [one]	El [que]
says	dice
of her	de ella
to me	a mí
He	Él
certainly	ciertamente
came	vino
You yourself	tú mismo
unto	hasta
He says	Él dice
we ourselves	nosotros mismos
You	Vosotros
Me myself	yo mismo
will be	será
of it	de ello
In	En
of Man	del Hombre
to God	a Dios
to those	a aquellos
on account of	a causa de
no [thing]	ninguna [cosa]
Said	Dijo
with the	con el
to us	a nosotros
over	sobre
Surely	Ciertamente
themselves	ellos mismos
you yourself	tú mismo
Says	Dice
Answered	Respondió
your	tu
he said	dijo
am	soy
same	mismo
Because of	A causa de
Himself	Él mismo
sons	hijos
has	tiene
were	eran
of Jesus	de Jesús
any	alguno
of Me	de Mí
He himself	Él mismo
certain	cierto
ages	siglos
of [the] Lord	del Señor
of those	de aquellos
unless	a no ser que
you are	sois
me myself	yo mismo
they said	dijeron
Who	Quién
than	que
you know	sabéis
there is	hay
to her	a ella
for the	para el
on the	en el
saints	santos
I am	yo soy
I know	sé
These things	Estas cosas
anything	algo
You yourselves	Vosotros mismos
it has been written	está escrito
yourselves	vosotros mismos
fathers	padres
you have	tenéis
comes	viene
of men	de los hombres
[the] Spirit	[el] Espíritu
know	sabed
of all	de todos
high priest	sumo sacerdote
I saw	vi
say	decid
there was	había
everyone	todos
O	oh
of Israel	de Israel
He was saying	Él decía
So	Así que
they are	son
he himself	él mismo
He is	Él es
you who [are]	vosotros que [sois]
