whom	quien
Peace	paz (Salem)
(Jerusalem) Is There	(Jerusalén) está allí
above	arriba
to(wards)	hacia
to say	decir
all	todos
not	no
son	hijo
to be	ser: estar
to make	hacer
to come (in): bring	venir: traer
Hamath the great	Hamat la grande
Jeshurun	Jesurún
king	rey
`the king`	el rey
King's	del rey
Valley (of Kings)	Valle (de los Reyes)
Molech	Moloc
earth	tierra
Gibeath-(elohim)	Gibeat-elohim
day	día
face: kindness	rostro: bondad
house	casa
(Beth)-ashbea	(Bet)-asbea
(Beth)-haggan	(Bet)-hagán
(House of the Forest of) Lebanon	(Casa del Bosque de) el Líbano
to give: pay	dar: pagar
they(fem.)	ellas
people	pueblo
Amminadib	Amminadib
man: anyone	hombre: cualquiera
hand	mano
him	él
word: portion	palabra: porción
Chronicles	Crónicas
to see: approach	ver: acercarse
till	hasta
father	padre
Ner	Ner
(Huram)-abi	(Huram)-abi
this	este
to walk	andar
from	de: desde
to speak: promise	hablar: prometer
them	ellos
to hear	oír
(Ir)-nahash	(Ir)-nahas
to dwell	morar
to bring forth	sacar
you	tú
to return: reply	volver: responder
with me	conmigo
one	uno
David	David
to take: fire	tomar: fuego
with	con
to know	conocer
year	año
pretext	pretexto
eye	ojo
I	yo
to die	morir
there	allí
behold	he aquí
me	mí
to send	enviar
name	nombre
to devour	devorar
Judah	Judá
Judahite	judaita
Judean	judío
Kiriath-jearim	Cariathiarim
woman	mujer
two	dos
servant/slave	siervo/esclavo
thus	así
nothing	nada
also	también
Moses	Moisés
these	estos
priest	sacerdote
to read	proclamar: leer
who?	¿quién?
finally	al fin
soul: neck	alma: cuello
(Way of) Holiness	(Camino de) Santidad
way: journey	camino: viaje
to arise	levantarse
Rahab	Rahab
Egypt	Egipto
(Sea of) Egypt	(Mar de) Egipto
evil	mal
Shihor	Sihor
brother	hermano
to stand: establish	afirmar: estar en pie
daughter: village	hija: aldea
(Bat)-shua	(Bat)-sua
head	cabeza
hundred	cien
water	agua
Water (Gate)	Puerta de las Aguas
to set: appoint	poner: designar
man	hombre
heart	corazón
mountain	monte
they	ellos
Adam	Adán
fine	bueno
(Sea of the) Philistines	(Mar de los) filisteos
to stand: put	poner: estar en pie
to smite	herir
to command	mandar
under	debajo de
to beget	engendrar
living	viviente
beast	bestia
her	su
voice	voz
still	todavía
mouth	boca
thousand	mil
to keep: careful	guardar: cuidar
to find	hallar
holiness	santidad
Most Holy Place	Lugar Santísimo
Holy Place	Lugar Santo
great	grande
noble	noble
three	tres
to fall	caer
now	ahora
ruler	gobernante
(Hall of) Judgment	(Pórtico) del Juicio
justice: custom	justicia: costumbre
please	ruego, pues
midst	en medio
between	entre
perpetuity	perpetuidad
seven	siete
altar	altar
place	lugar
heaven	cielo
sea	mar
(Mount) Ephron	(Monte) Efrón
gold	oro
Saul	Saúl
Shaulite	saulita
Shaul	Saul
sword	espada
silver	plata
door	puerta
to go down	descender
utterance	oráculo
spirit	espíritu
to tell	contar
fire	fuego
blood	sangre
to build	edificar
five	cinco
counsel	consejo
tent: home	tienda: morada
ten	diez
around: neighours	alrededor
Aaron	Aarón
article/utensil	utensilio
fourfold	cuádruple
lord	señor
to bless	bendecir
prophet	profeta
tree: carpenter	árbol: carpintero
twenty	veinte
look!	mira!
battle	batalla
to answer	responder
family	familia
to turn aside: turn aside	apartarse: desviarse
to fear: revere	temer: reverenciar
sin offering	ofrenda por el pecado
Philistine	filisteo
feast	fiesta
Levi	Leví
much	mucho
time	tiempo
stronger	más fuerte
burnt offering	holocausto
month: new moon	mes: luna nueva
to serve: burden	servir: carga
to live	vivir
to approach	acercarse
covenant	pacto
Solomon	Salomón
stone	piedra
Babylon	Babilonia
En-rogel	En-rogel
flock	rebaño
Sheep (Gate)	Puerta de las Ovejas
Pharaoh-neco	Faraón-necao
Pharaoh	Faraón
(Pharaoh)-hophra	(Faraón)-hofra
to cut: lack	cortar: faltar
(Wilderness of) Sinai	(Desierto de) Sinaí
flesh	carne
cubit	codo
face	rostro
because	porque
us	nosotros
wicked	impío
to fill	llenar
border: area	frontera: territorio
youth	joven
enemy	enemigo
to possess: poor	poseer: despojar
foot	pie
Helech	Helec
strength	fortaleza
to sin	pecar
deed	hecho
Jeshua	Jesúa
Joshua	Josué
inheritance	heredad
seed	simiente
land: planet	tierra: país
peace	paz
night	noche
to write	escribir
to seek	buscar
Zaphenath-paneah	Zafnat-panea
Joseph	José
to drink	beber
meeting: signal appointed	junta: señal señalada
six	seis
tribe: supply	tribu: vara
mother	madre
to grow great	crecer: engrandecerse
instruction	instrucción
angel	ángel
to add	añadir
iniquity: punishment	iniquidad: castigo
to lie down: be dead	acostarse: estar muerto
ark	arca
to remember	acordarse
entrails: inner parts	entrañas: partes internas
(Baal)-berith	Baal-berit
god: power	dios: poder
morning	mañana
El (Elohe)	El (Elohe)
camp	campamento
offering	ofrenda
to gather	recoger
to end: expend	acabar: gastar
to stretch	extender
alone: besides	solo: además
tree	árbol
to love: friend	amar: amigo
magistrate	juez
be able	poder
righteous	justo
to rescue	librar
oil	aceite
to reveal	revelar: descubrir
Gera	Gera
scroll	rollo: libro
tribe: ruler	tribu: príncipe
animal	animal
cattle	ganado
glory	gloria
Moabite	moabita
Moab	Moab
Plains (of Moab)	Llanuras (de Moab)
commandment	mandamiento
old	viejo
ear: to ears	oreja: oídos
to save	salvar
first: chief	primero: principal
Abram	Abram
to swear	jurar
neighbor	prójimo
palm: dish	palma: fuente
Ephron	Efrón
Ephraim (Gate)	Puerta de Efraín
(Forest of) Ephraim	(Bosque de) Efraín
Ephraim	Efraín
Jordan	Jordán
(Mount) Ephraim	(Monte de) Efraín
thirty	treinta
to destroy	destruir
to consecrate: holiness	santificar: santidad
to bow	inclinarse
to choose	escoger
to shepherd	apacentar
to ask	preguntar
to understand	entender
fifty	cincuenta
entrance	entrada
to kill	matar
another	otro
[Ben]jaminite	benjamita
Benjamin	Benjamín
Benjamin (Gate)	Puerta de Benjamín
(Gate of) Benjamin	(Puerta de) Benjamín
sacrifice	sacrificio
to rise	ponerse en pie
outside	afuera
second	segundo
to flee	huir
lip: language	labio: lengua
work	obra
north	norte
Zaphon	Safón
Assyria	Asiria
Asshur	Asur
to turn: changed	volverse: cambiar
to set out	partir
mighty man	hombre valiente
wisdom	sabiduría
Jeremiah	Jeremías
to corrupt	corromper
to touch	tocar
righteousness	justicia
to camp	acampar
Joab	Joab
service	servicio
congregation	congregación
death	muerte
Edomite	edomita
Aram	Aram
Syrian	sirio
(Aram)-maacah	(Aram)-maaca
Mesopotamia	Mesopotamia
Paddan	Padán
to cover	cubrir
Samuel	Samuel
Shemuel	Semuel
surely	ciertamente
generation	generación
(Brook of) Willows	(Arroyo de) los Sauces
(Brook of) the Arabah	(Arroyo de) la Arabá
to rest	descansar
scribe	escriba
abundance	abundancia
wine	vino
Manassite	manasita
Manasseh	Manasés
tabernacle	tabernáculo
to break	quebrar
forty	cuarenta
(Mount) Gilead	(Monte) de Galaad
Gileadite	galaadita
Gilead	Galaad
Jabesh	Jabes
number	número
to open	abrir
to bury	sepultar
to pursue	perseguir
Ramath-mizpeh	Ramath-mizpeh
before	delante de
befall	acontecer
then	entonces
bullock	buey
to remain	quedarse
to rejoice	alegrarse
(Geruth) Chimham	(Gerut) de Chimham
Hezekiah	Ezequías
Hizkiah	Hizquías
wise	sabio
like	como
evening	tarde
to turn	volverse
Corner (Gate)	Puerta del Ángulo
(Hall of) the Throne	(Pórtico) del Trono
throne	trono
to hate	aborrecer
lest	para que no
to approach: bring	acercarse: traer
decree	decreto
sun	sol
to sacrifice	sacrificar
wall	muro
right: south	derecha: sur
Broad	Ancha
firstborn	primogénito
to capture	prender
to throw	lanzar
half	mitad
fruit	fruto
sister	hermana
bone: body	hueso: cuerpo
chariot: millstone	carro: piedra de molino
be ashamed	avergonzarse
abomination	abominación
rage	furor
beat	golpe
assembly	asamblea
to burn	quemar
(Hall of) Pillars	(Pórtico) de las Columnas
light	luz
we	nosotros
kingdom	reino
pillar	columna
to prophesy	profetizar
river	río
Euphrates	Éufrates
truth: certain	verdad: certeza
to weep	llorar
to account	calcular: imputar
be good	ser bueno
to honor: dull	honrar: ser pesado
south	sur
upright	recto
Jashar	Jasar
lamb	cordero
to magnify	engrandecer
Isaac	Isaac
to be sorry: relent	arrepentirse: consolarse
to clothe	vestir
Sabbath	sábado
Samaritan	samaritano
holy	santo
except	excepto
eight	ocho
to pour: scatter	derramar: esparcir
Jeroboam	Jeroboam
to trust	confiar
about/through/for	acerca de/por/para
statute	estatuto
Rabbah	Rabá
third	tercero
deception	engaño
Absalom	Absalón
appearance	apariencia
famine	hambre
width	anchura
wing	ala
skin	piel
dust	polvo
little	pequeño
to run: pieces	correr: pedazos
high place	lugar alto
seventh	séptimo
tongue	lengua
to minister	ministrar
length	largura
be pure	ser puro
Ahab	Acab
knowledge	conocimiento
to fornicate	fornicar
continually	continuamente
Esau	Esaú
fat	grasa
donkey	asno
pure	puro
cherub	querubín
to satisfy	saciar
to overturn	trastornar
(Mount) Esau	(Monte) de Esaú
seventy	setenta
Amorite	amorreo
unclean	inmundo
vineyard	viña
to escape	escapar
royalty	realeza
to shut	cerrar
shekel	siclo
sojourner	extranjero
cloud	nube
peace offering	ofrenda de paz
