the	el
in	en
And	Y
however	pero
into	hacia
Him	Él
to	a
is	es
through	por medio de
I myself	yo mismo
so that	para que
of God	de Dios
as	como
to you	a vosotros
Lord	Señor
If	Si
Not	No
of	de
of us	de nosotros
upon	sobre
who	quien
saying;	diciendo;
disciples	discípulos
Son	Hijo
Father	Padre
said	dijo
concerning	acerca de
by	por
having	teniendo
even as	así como
what	qué
these things	estas cosas
many	muchos
Spirit	Espíritu
faith	fe
men	hombres
anyone	alguien
days	días
Paul	Pablo
But	Pero
brothers	hermanos
Jesus;	Jesús;
every	todo
Then	Entonces
Amen	Amén
Behold	He aquí
Peter	Pedro
where	donde
For	Porque
maybe	quizá
Jews	judíos
works	obras
Jerusalem	Jerusalén
no [one]	nadie
answering	respondiendo
feet	pies
having come	habiendo venido
When	Cuando
Holy	Santo
Pharisees	fariseos
hands	manos
having seen	habiendo visto
children	niños
Therefore	Por tanto
of Christ	de Cristo
only	solamente
against	contra
eyes	ojos
chief priests	príncipes de los sacerdotes
angels	ángeles
sitting	sentados
Or	O
scribes	escribas
having taken	habiendo tomado
is able	puede
himself	él mismo
wife	esposa
having heard	habiendo oído
church	iglesia
words	palabras
more	más
elders	ancianos
will	voluntad
hearts	corazones
knowing	sabiendo
as much as	cuanto
do go	id
sins	pecados
apostles	apóstoles
it behooves	es necesario
crowds	multitudes
it came to pass	aconteció
begat	engendró
age	siglo
prophets	profetas
King	Rey
rest	reposo
servants	siervos
heavens	cielos
After	Después de
How	Cómo
believing	creyendo
having sent	habiendo enviado
earth,	tierra,
that [very]	aquel [mismo]
a voice	una voz
Pilate	Pilato
sent	enviado
Now	Ahora
soul	alma
Thus	Así
speaking	hablando
years	años
signs	señales
to do	hacer
Woe	¡Ay!
[the] dead	[los] muertos
declarations	declaraciones
[the] midst	[el] medio
fell	cayó
