<obj.>	(objeto directo)
Yahweh	Jehová
to	(a)
Israel	Israel
on	sobre
and/ he said	y/ dijo
and/ not	y/ no
[the] son of	[el] hijo de
the/ king	el/ rey
<the>/ this	el/ este
the/ people	el/ pueblo
[the] house of	[la] casa de
who	quien
and/ it was	y/ aconteció
<to>/ before	a/ delante de
and/ all	y/ todos
the/ land	la/ tierra
he	él
may not	para que no
God/ your	Dios/ tu
[the] utterance of	[el] oráculo de
the/ priest	el/ sacerdote
to <the>/ him	a/ él
to <the>/ you	a/ ti
and/ there!	y/ he aquí
[the] Lord	[el] Señor
Jerusalem	Jerusalén
and/ if	y/ si
year[s]	año[s]
the/ city	la/ ciudad
<the>/ these	los/ estos
hundred<s>	ciento<s>
days	días
and/ you	y/ tú
of hosts	de los ejércitos
and/ also	y/ también
the/ heavens	los/ cielos
and/ I	y/ yo
to <the>/ them	a/ ellos
a man	un hombre
[the] word of	[la] palabra de
to <the>/ me	a/ mí
[the] Philistines	[los] filisteos
<to>/ therefore	por/ tanto
and/ he took	y/ tomó
there not	no hay
and/ he spoke	y/ habló
father/ his	padre/ su
all around	alrededor
teen	(y diez)
humankind	humanidad
the/ nations	las/ naciones
and/ he sent	y/ envió
only	solamente
[the] daughter of	[la] hija de
the/ altar	el/ altar
hand/ his	mano/ su
many	muchos
exceedingly	en gran manera
and/ he came	y/ vino
the/ Levites	los/ levitas
here/ I	heme aquí
meeting	junta
in/ [the] eyes of	en/ los ojos de
and/ he went	y/ fue
and/ therefore	y/ por tanto
the/ Jordan	el/ Jordán
<the>/ great	el/ grande
the/ sea	el/ mar
<to>/ why?	¿por qué?
with/ you	contigo
[the] ark of	[el] arca de
[the] two	[los] dos
for/ ever	para/ siempre
the/ field	el/ campo
name/ his	nombre/ su
and/ he died	y/ murió
and/ he saw	y/ vio
so that	para que
to/ do	a/ hacer
the/ prophet	el/ profeta
servant/ your	siervo/ tu
and/ between	y/ entre
from/ with	de/ con
the/ place	el/ lugar
[the] inhabitants of	[los] habitantes de
in the/ wilderness	en el/ desierto
[the] tent of	[la] tienda de
<the>/ one	el/ uno
from/ there	de/ allí
he had commanded	había mandado
the/ men	los/ varones
Ammon	Amón
and/ he answered	y/ respondió
in the/ morning	por la/ mañana
and/ five	y/ cinco
the/ woman	la/ mujer
[is] good	[es] bueno
he fathered	engendró
Edom	Edom
[the] entrance of	[la] entrada de
[the] gate of	[la] puerta de
[the] mouth of	[la] boca de
from/ it	de/ él
wicked [people]	impíos
and/ they	y/ ellos
and/ he went out	y/ salió
and/ he called	y/ llamó
the/ sun	el/ sol
Canaan	Canaán
and/ he gave	y/ dio
the/ evil	el/ mal
and/ four	y/ cuatro
and/ he arose	y/ se levantó
from/ Egypt	de/ Egipto
and/ twenty	y/ veinte
<the>/ second	el/ segundo
to/ clans/ their	a/ clanes/ sus
of the/ month	del/ mes
thousand<s>	mil<s>
