his	su
and	y
it/s/he	él/ella
of you	de vosotros
then	entonces
in/on/among	en
being	siendo
of me	de mí
toward	hacia
not!	¡no!
which	el cual
of these	de estos
to say: call	decir: llamar
God	Dios
that/since: since	porque/puesto que
all	todos
for	porque/para
not	no
Jesus	Jesús
Christ	Cristo
Jose	José
Justus	Justo
Joshua	Josué
to say	decir
out from	fuera de
upon/to/against	sobre/contra
lord: master	señor: amo
to/with	a/con
to have/be	tener/ser
through/because of	por/por causa de
be born	nacer
away from	lejos de
in order that/to	para que
but	pero
to come/go	venir/ir
he did	hizo
which?	¿cuál?
a human	un ser humano
one	uno
therefore/then	por tanto
if: even though	aunque
as/when	como/cuando
according to	según
with/after	con/después
to hear	oír
father	padre
to give	dar
day	día
spirit/breath: breath	espíritu: aliento
son	hijo
to know	conocer
much	mucho
or	o
first	primero
brother	hermano
if	si
about	acerca de
word	palabra
themself	sí mismo
to speak	hablar
heaven	cielo
disciple	discípulo
to take	tomar
earth: soil	tierra
that	que
to answer	responder
greater	mayor
to trust (in)	confiar (en)
faith: faithfulness	fe: fidelidad
none	ninguno
name	nombre
holy: saint	santo
and/both	y/ambos
by/under: under	bajo
woman: wife	mujer: esposa
to go out	salir
man: husband	hombre: marido
thus(-ly)	así
be willing	querer
look!	mirad!
be able	poder
to write	escribir
law	ley
from/with/beside	de/con/junto a
Jew	judío
to enter	entrar
on the other hand	en cambio
world	mundo
angel: messenger	ángel: mensajero
as/just as	como
hand	mano
to find/meet	hallar/encontrar
work	obra
crowd	multitud
sin	pecado
glory	gloria
city	ciudad
kingdom	reino
Saul	Saulo
first: best	primero: el mejor
Sergius	Sergio
Gentiles	gentiles
another	otro
heart	corazón
Simeon	Simeón
[wife of Peter]	[esposa de Pedro]
[mother-in-law of Peter]	[suegra de Pedro]
to stand	estar en pie
grace	gracia
to travel	viajar
amen	amén
above/for	arriba: por
flesh	carne
now	ahora
prophet	profeta
until	hasta
to call: name	llamar: nombrar
to release: permit	soltar: permitir
who/which	quién/cual
nor	ni
again	otra vez
body	cuerpo
to love	amar
to arise	levantarse
life	vida
a people	un pueblo
voice/sound: noise	voz: ruido
to see	ver
two	dos
John	Juan
Mark	Marcos
to send	enviar
dead	muerto
with	con
slave	esclavo
an age: eternity	siglo: eternidad
when(-ever)	cuandoquiera
high-priest	sumo sacerdote
to throw: hit	echar: herir
to deliver	librar
power	poder
death	muerte
to go away	irse
to seek	buscar
to remember	acordarse
one's own/private	propio
king	rey
assembly	iglesia
to judge	juzgar
love	amor
house: household	casa: familia
alone	solo
to die	morir
to ensue	perseguir
just as/how much	así como: cuánto
truth	verdad
to save	salvar
to plead/comfort	exhortar: consolar
hour	hora
be necessary	ser necesario
when	cuando
soul: animal	alma: vida
how?!	¡cómo!
good	bueno
to take up	levantar
authority	autoridad
still	todavía
Havens	los cielos
road	camino
one another	unos a otros
eye	ojo
Pharisee	fariseo
blood	sangre
(Field of) Blood	(Campo) de Sangre
there	allí
other	otro
to place	poner
bread	pan
child	niño
to beget	engendrar
to teach	enseñar
to eat	comer
to walk	andar
before	antes
home: household	hogar: casa
place	lugar
to fear	temer
to destroy	destruir
righteousness	justicia
foot	pie
immediately	luego
peace	paz
nothing	nada
to follow	seguir
to sit	sentarse
sea	mar
to collapse	desvanecerse
seven	siete
to fulfill	cumplir
neither	ni
to come near/agree	acercarse: convenir
to pray	orar
be first	ser primero
time/right time	tiempo: sazón
mother	madre
where(-ever)	dondequiera
more: rather	más: antes bien
so	así
to ascend	subir
each	cada uno
to expel	expulsar
to come/go down	descender
to baptize	bautizar
just	justo
to go	ir
water	agua
apostle	apóstol
evil/bad	malo
mouth	boca
Moses	Moisés
to open	abrir
twelve	doce
to testify	testificar
face	rostro
sign	señal
Zion	Sion
head	cabeza
Simon	Simón
to kill	matar
gospel	evangelio
to drink	beber
fire	fuego
to rejoice	regocijarse
to keep: protect	guardar: proteger
Abraham	Abraham
temple	templo
light	luz
declaration	declaración
Three	Tres
to ask	preguntar
to bring	traer
eternal	eterno
commandment	mandamiento
Israelite	israelita
faithful	fiel
boat	barca
to assert	afirmar
Sabbath	sábado
scribe	escriba
elder: old	anciano
to release: divorce	despedir: divorciar
fruit	fruto
to bear/lead	llevar: guiar
whether	si acaso
out/outside(r)	fuera: forastero
night	noche
mountain	monte
to think	pensar
throne	trono
here	aquí
demon	demonio
will/desire	voluntad: deseo
clothing	vestido
to glorify	glorificar
Galilean	galileo
(Sea of) Tiberias	(Mar de) Tiberias
beloved	amado
already	ya
to preach	predicar
to assemble	reunir
be already	estar ya
stone	piedra
midst	en medio
to worship	adorar
such as this	como este
teacher	maestro
joy	gozo
David	David
to see/experience	ver: experimentar
beginning	principio
to pay respects to	saludar
to receive	recibir
synagogue	sinagoga
to question	interrogar
to cry	dar voces
third	tercero
to speak good news	evangelizar
Pontius	Poncio
right	derecho
last/least	postrero: el menor
Mary	María
to persuade	persuadir
therefore	por tanto
hope	esperanza
time	tiempo
promise	promesa
to sow	sembrar
blind	ciego
wisdom	sabiduría
saving	que salva
tongue	lengua
a writing	un escrito
deserted	desierto
evil/harm: harm	mal: daño
blessed	bienaventurado
parable	parábola
need	necesidad
sinful	pecador
to pay	pagar
year	año
judgment	juicio
where?	¿dónde?
to bring to	ofrecer
prison/watch: watch	cárcel: vigilancia
to announce	anunciar
wild animal	bestia
to grasp/seize	asir: agarrar
woe!	¡ay!
to reveal	revelar
secondly	en segundo lugar
to seat	sentar
small	pequeño
like	como
to crucify	crucificar
fear	temor
to pursue	perseguir
to dwell	morar
to bind	atar
to pass through	atravesar
to come to know	llegar a conocer
Herod	Herodes
to marvel	maravillarse
to serve/heal	servir: sanar
pressure	tribulación
new	nuevo
to loose	desatar
little/few	poco: pocos
Judea	Judea
to sin	pecar
generation	generación
to come near	acercarse
to praise/bless	alabar: bendecir
seed(s)	simiente
honor	honra
to call	llamar
resurrection	resurrección
James	Santiago
part	parte
to stand by	presentarse
to suffer	padecer
today	hoy
goal/tax	fin: impuesto
four	cuatro
worthy	digno
to work	trabajar
sufficient	suficiente
Lebbaeus	Lebéo
Iscariot	iscariote
Jude	Judas
Judah	Judá
Judas	Judas
to count	contar
remaining	restante
to hate	aborrecer
grave	sepulcro
always	siempre
to test/tempt: try	tentar: probar
to touch	tocar
to make ready	preparar
door	puerta
to weep	llorar
to build	edificar
to lead astray	extraviar
sheep	oveja
to subject	sujetar
without	sin
to put/lay on	poner encima
to exceed	exceder
to do/require	hacer: exigir
devilish/the Devil	diabólico/el Diablo
to justify	justificar
desire	deseo
to thank	dar gracias
Philippi	Filipos
to boast	gloriarse
to come	venir
five	cinco
Philip	Felipe
